CustomerID,PrimaryLegalName,CustomerType,RiskRating,KYC_Status,IsPEP,LastUpdatedDate,Gender,DateOfBirth,PlaceOfBirth_City,PlaceOfBirth_Country,IncorporationDate,IncorporationJurisdiction,BusinessActivityDescription,FullAddress,CurrentCity,ResidencyCountry,EmailAddress,DocumentType,ID_Number,IssuingCountry,ID_ExpiryDate,OfficeHeld,PEP_Jurisdiction,PEP_Level
CUST-6BCAC995,جلنار أبو داوود,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1995-10-20,يسرىport,Sweden,,,,"9385 العليان Causeway, North كنارtown, MD 10407",حجارton,Lao People's Democratic Republic,mmhn@example.org,License,KB54855600,Lao People's Democratic Republic,2027-03-20,,,
CUST-6D376099,Andrew Ogunleye,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Female,1969-04-16,Johnmouth,Tonga,,,,"USCGC Olawale, FPO AE 33817",New Paulbury,Kuwait,michaelolawale@example.net,Passport,HZ57913091,Kuwait,2033-06-01,,,
CUST-8CEF6540,Bahaa Limazah,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1995-05-28,Nabihberg,Gambia,,,,"893 Ubaidah Village, East Baaqir, SD 91029",Bilaalport,Malta,umaarahbaqir@example.com,Passport,IT88976655,Malta,2031-06-04,,,
CUST-B6737A16,高橋 涼平,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1968-11-20,横浜市中区,東ティモール,,,,神奈川県西多摩郡瑞穂町北上野23丁目10番12号 戸島ハイツ687,台東区,スリランカ,asuka11@example.net,Passport,HR70722679,スリランカ,2031-08-01,,,
CUST-3DB9B83E,Daniel Jameel,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1946-09-07,Port Sabirchester,Singapore,,,,"5444 Saahir Hollow Apt. 611, Najamton, NM 66098",Yaghnamville,Anguilla,madyan17@example.org,ID,UY38023905,Anguilla,2033-12-18,,,
CUST-B0A97256,Domnica Cristea,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1997-04-26,Seini,Luxembourg,,,,"Drumul Mărioara Albu Nr. 63 Bl. 29  Sc. 96 Ap. 572, Targu Ocna, 599067",Topoloveni,North Korea,beniamindobre@example.org,ID,OQ61519828,North Korea,2033-12-09,,,
CUST-2ED981C5,Olga Koniecko,Individual,Low,Suspended,0,2026-03-18 16:37:59,Other,1967-08-12,Giżycko,Guatemala,,,,"pl. Paderewskiego 93, 77-034 Ostrowiec Świętokrzyski",Oława,CÃ´te d'Ivoire,siemieniecmarek@example.com,License,OR93560390,CÃ´te d'Ivoire,2029-10-17,,,
CUST-8D8F3FE8,Luca Diaconescu,Individual,Medium,Onboarded,1,2026-03-18 16:37:59,Male,1983-03-02,Chitila,Tajikistan,,,,"Aleea Mocanu Nr. 34, Borsa, 954768",Tarnaveni,Guinea-Bissau,xdiaconescu@example.com,ID,DM95649191,Guinea-Bissau,2027-03-27,Ambassador,Tuvalu,L1-High
CUST-6BE6D280,Timothy Davis,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Female,1978-05-29,Dylan Ville,Germany,,,,"3409 I Rodriguez Street, Maria, 3334 Mountain Province",William Ville,Albania,juan43@example.org,ID,PT38463472,Albania,2031-06-05,,,
CUST-402AB5A9,Christopher Wells,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1946-05-23,Port Bryanberg,Russian Federation,,,,"Unit 9278 Box 9432, DPO AA 51272",Kevinmouth,Austria,stevenhancock@example.org,ID,CK54568480,Austria,2030-05-19,,,
CUST-F834ABD1,Третьякова Фёкла Даниловна,Individual,Medium,Blocked,0,2026-03-18 16:37:59,Male,1998-10-26,г. Голицыно,Ангола,,,,"п. Иркутск, алл. Поперечная, д. 8/8 стр. 794, 131666",д. Вилюйск,Австралия,jurikostin@example.net,ID,GB74820334,Австралия,2033-10-04,,,
CUST-21A38EE5,Melo S.A.S,Entity,Low,Onboarded,0,2026-03-18 16:37:59,,,,,2015-01-09,Índia,Real Estate,"Colônia Alexia Araújo, 833, Alípio De Melo, 49286218 Costela de Melo / SP",Melo de Farias,Samoa Americana,maria-clarada-conceicao@example.com,Tax ID,ED20959154,Samoa Americana,2036-01-05,,,
CUST-9A6537CE,بهية الجابر,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,2007-05-01,المغاولةbury,Fiji,,,,"19347 نصر الدّين Keys Suite 618, North بتول, RI 86244",Lake شكري,United Arab Emirates,slymnal-sltn@example.net,License,WB81656604,United Arab Emirates,2032-07-27,,,
CUST-0F1D13A6,Lupe Amigó Revilla,Individual,Medium,Suspended,0,2026-03-18 16:37:59,Female,1973-05-21,Soria,Colombia,,,,"Calle de Reynaldo Duarte 9 Puerta 4 , Albacete, 06014",Santa Cruz de Tenerife,República Árabe Siria,wilfredo20@example.net,Passport,WS92049979,República Árabe Siria,2027-07-28,,,
CUST-55EF8F0D,Михайлина Притула,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1961-11-28,хутір Карлівка,Гамбія,,,,"парк Лесі Українки, буд. 08 кв. 49, Радехів, 32601",місто Батурин,Ірландія,niaremenko@example.com,ID,EL14267740,Ірландія,2027-03-22,,,
CUST-CC790521,Mr Justin Gregory,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1951-01-27,McDonaldhaven,Cook Islands,,,,"Studio 49, Roberts Lights, Lake Clive, SL07 0RE",Howardbury,Bangladesh,hazel32@example.net,ID,WP34758710,Bangladesh,2031-12-19,,,
CUST-9177A877,赵桂芳,Individual,Low,Blocked,0,2026-03-18 16:37:59,Male,2004-12-04,西安县,马拉维,,,,香港特别行政区丽丽市清城江街t座 894212,洁县,阿塞拜疆,chao02@example.net,License,LP55866433,阿塞拜疆,2026-09-15,,,
CUST-2BB46B36,Victorino León Soto,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1965-09-07,Vizcaya,Burundi,,,,"Cuesta de Abilio Villalba 72, Lugo, 39059",Cantabria,República Democrática Popular Lao,cintiaarino@example.com,ID,YB42574682,República Democrática Popular Lao,2027-12-03,,,
CUST-5E2945DF,কাজল হক,Individual,Low,Suspended,0,2026-03-18 16:37:59,Male,1944-07-07,জামালপুর,মার্কিন যুক্তরাষ্ট্র,,,,"বিল্ডিং নং ৮০৪, উত্তর সদরতলা কর্নার, কালিয়াডাঙ্গা, নওগাঁ, ৭২০৩",যশোর,মালাউই,raashedul67@example.net,License,WS80686390,মালাউই,2029-10-13,,,
CUST-11DD1B0A,张倩,Individual,Medium,Suspended,0,2026-03-18 16:37:59,Other,1937-06-19,梅市,古巴,,,,湖北省哈尔滨市静安朱路S座 622224,建华县,克罗地亚,xialiang@example.net,ID,VX60771231,克罗地亚,2028-06-14,,,
CUST-014E4E57,Stephanie Reid,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1989-01-16,New Scottstad,Italy,,,,"7451 Juarez Glens Apt. 448, Port Isaiah, DE 79886",South Robertfort,Saint Kitts and Nevis,brandonriley@example.net,License,DB15855326,Saint Kitts and Nevis,2034-04-20,,,
CUST-24225787,Laura Hall,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1937-02-16,East Coreyhaven,Benin,,,,"70521 Christopher Fork, Rebeccafort, WY 24173",Jenniferhaven,Kazakhstan,ericrojas@example.com,Passport,KQ26523610,Kazakhstan,2030-01-31,,,
CUST-EE4FE888,Morgan PLC Corp,Entity,Low,Onboarded,0,2026-03-18 16:37:59,,,,,1999-04-17,Philippines,Real Estate,"695 Evans Mount, Sianberg, N8 9GZ",North Claireside,Afghanistan,derek76@example.com,Tax ID,JQ09405403,Afghanistan,2027-01-19,,,
CUST-C93F814A,Christopher Graham,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1967-06-27,Katelyn Ville,Greece,,,,"B03 L61 Navarro Cove, Nelson Drive, Sumilao, 2875 Pangasinan",Martin Ville,Algeria,brownrebekah@example.org,License,ZJ34598660,Algeria,2030-08-24,,,
CUST-49C69F1B,Arturo Comas Vizcaíno,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1990-08-01,Melilla,Kuwait,,,,"Glorieta Bautista Neira 1, Cantabria, 04399",Las Palmas,Palau,uarino@example.org,ID,KV73387602,Palau,2035-06-13,,,
CUST-0984C7C8,李东,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1979-12-31,通辽县,赤道几内亚,,,,海南省莉市沈河沈阳街J座 880910,红梅市,古巴,xiaren@example.org,ID,KL14676937,古巴,2033-03-19,,,
CUST-483DA526,pan Maciej Bidas,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,2003-05-06,Wyszków,Latvia,,,,"al. Grottgera 811, 97-162 Wołomin",Zgierz,Cuba,idapudelek@example.com,License,GV86799358,Cuba,2034-02-08,,,
CUST-1C9F4851,Vincenzo Höfig-Trüb,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1994-03-06,Hildburghausen,Bouvetinsel,,,,"Henni-Hiller-Allee 86-36, 92752 Northeim",Ebern,Paraguay,kathrin41@example.com,ID,BH63355613,Paraguay,2033-01-13,,,
CUST-79380AC4,Rolf-Dieter Heinz,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1937-09-10,Mühldorf am Inn,Falklandinseln,,,,"Steckelweg 6/8, 00284 Aachen",Schwandorf,Albanien,isabelleweller@example.net,Passport,OO47091350,Albanien,2033-10-08,,,
CUST-C7693BBA,Frau Violetta Kühnert,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1961-08-03,Augsburg,Nepal,,,,"Jopichweg 34, 02032 Bautzen",Quedlinburg,Schweden,roehrichtalfons@example.com,Passport,DT26754047,Schweden,2034-01-03,,,
CUST-3235F446,Mohamed Diego Escalona,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1961-05-17,Almería,Estonia,,,,"Plaza de Trini Grande 60, Lugo, 25209",Salamanca,Alemania,santamariamaximo@example.org,License,DE41095432,Alemania,2034-07-18,,,
CUST-03CE80AE,TXNY Capital Inc. Bank,Entity,Low,Onboarded,0,2026-03-18 16:37:59,,,,,2006-10-16,Turkey,Retail,"8116 40th Street, Canaman, 4658 Oriental Mindoro",Grace Ville,South Africa,traci74@example.net,Tax ID,CF31948240,South Africa,2030-11-24,,,
CUST-F0F3DBC3,Nicolai Seifert,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1958-09-24,Ingolstadt,Aserbaidschan,,,,"Flantzstraße 5133, 52336 Steinfurt",Düren,Tokelau,ktrubin@example.com,Passport,CR31965920,Tokelau,2035-03-09,,,
CUST-E4DB9715,Mark Chukwu,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1975-12-25,East Deborah,Swaziland,,,,"0172 Okafor Village Suite 526, North Nathanielton, PW 51890",Ojofurt,Yemen,poshodi@example.net,License,XE30015060,Yemen,2033-02-21,,,
CUST-CFC8537B,Белоусова Наина Алексеевна,Individual,Medium,Suspended,0,2026-03-18 16:37:59,Female,1958-04-10,ст. Завьялиха,Малайзия,,,,"с. Кисловодск, пр. Нефтяников, д. 978 к. 335, 039348",ст. Саранск,Непал,kabanovaveronika@example.org,ID,AY38806492,Непал,2031-01-23,,,
CUST-B5EDBE13,Philip Nnamani,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Male,1997-03-13,Adeyemitown,Lithuania,,,,"133 Chukwu Wells, Paulstad, MT 61796",Obichester,Mali,joy44@example.com,License,IS69803751,Mali,2030-11-29,,,
CUST-95DD41CB,Jonathan Scott,Individual,Low,Suspended,0,2026-03-18 16:37:59,Male,1983-08-12,Port Tyler,Morocco,,,,"3555 Bray Ville, South Phillipstad, PW 68717",Port Bryan,Bosnia and Herzegovina,jeffreywilliams@example.net,License,YJ23100596,Bosnia and Herzegovina,2030-05-07,,,
CUST-3479EED1,Salomé Quevedo Rojas,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1978-02-09,Sevilla,Tuvalu,,,,"Pasadizo Jerónimo Recio 57 Apt. 60 , Álava, 41834",Salamanca,México,cristian89@example.com,ID,VX27175645,México,2031-08-09,,,
CUST-45684FB0,James Chukwu,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,2006-10-14,Ojofurt,Bolivia,,,,"Unit 3152 Box 1547, DPO AA 34730",North Joshua,Malawi,radetokunbo@example.org,Passport,HI48027148,Malawi,2033-11-26,,,
CUST-500FFC98,Laura Stănescu,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,2002-02-22,Gugesti,Mozambique,,,,"Intrarea Ivona Dinu, Modelu, 775091",Cajvana,Austria,nflorea@example.net,Passport,LB60216228,Austria,2035-05-12,,,
CUST-FA4A5E3B,Людмила Абрамчук,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1943-12-07,село Ніжин,Канада,,,,"проспект Сергія Єфремова, буд. 9 кв. 4, Славутич, 60621",хутір Мала Виска,Багамські Острови,zinchukleontii@example.com,License,XQ68671245,Багамські Острови,2034-05-25,,,
CUST-B64F49A7,سعد آل قصير,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1998-02-11,لاناburgh,Kiribati,,,,"5620 الحكير Bypass, آل عطفةbury, PA 42179",آل العسكريchester,New Caledonia,ljbrnswh@example.com,License,SJ81030008,New Caledonia,2028-05-25,,,
CUST-F0918777,Michael Castaneda,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1957-12-03,Catherine Ville,Kingdom of the Netherlands,,,,"1589 50th Road, Ramos Cove Phase 9, Muntinlupa, 0790 Metro Manila",Nicholas Ville,Moldova,ryanclay@example.org,ID,ET22738571,Moldova,2030-04-29,,,
CUST-03AB53D8,斎藤 翼,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Male,1973-04-08,三宅島三宅村,カンボジア,,,,愛媛県千代田区長間5丁目11番11号 パレス脚折440,葛飾区,ボリビア,akira01@example.org,Passport,TK70520667,ボリビア,2033-09-04,,,
CUST-0F461C01,Dagmara Skrzecz,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Male,1962-08-08,Piastów,Tonga,,,,"ul. Kazimierza Wielkiego 909, 27-824 Jawor",Jarocin,Bahrain,andreasikpawel@example.net,License,FU54108150,Bahrain,2031-05-03,,,
CUST-53137B98,অনন্যা পাণ্ডে,Individual,High,Onboarded,0,2026-03-18 16:37:59,Other,1972-05-31,ভোলা,জার্মানি,,,,"ষ্টুডিও ৬১, বাসা নং ৯৪৫, রামগাঁ, শিবগঞ্জ, শরীয়তপুর, ৩০২৪",যশোর,সেন্ট লুসিয়া,daassaumy@example.com,ID,YX24464054,সেন্ট লুসিয়া,2033-08-15,,,
CUST-701AA29F,Lucas da Cruz,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1995-06-13,Gomes,Egito,,,,"Vereda Juliana Macedo, 72, Penha, 67198-207 da Rocha Alegre / PB",Costela,Bósnia e Herzegovina,santosnatalia@example.org,ID,UQ67733063,Bósnia e Herzegovina,2033-02-01,,,
CUST-5AFBACD1,सरल चटर्जीजी,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Male,1974-06-30,फतेहगढ,गेबोन,,,,"6/5 कुमार, मोकोकचुंग 522359",सभापतिने,ओमान,vsntaa87@example.org,License,YT54865135,ओमान,2033-03-10,,,
CUST-8CCDF6A2,आदरवाचक प्रदीप चक्रवर्ती,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,2006-11-24,लखनऊ,श्रीलंका,,,,"8 ज्योतिष सिंह, मुंबई 119859",विस्तारण,मोरक्को,agrvaalasiim@example.net,License,QI90561290,मोरक्को,2030-03-15,,,
CUST-FDC9D96B,Nathan Thompson-Collins,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1974-09-18,Davisfurt,Montenegro,,,,"Flat 49U, Kirsty Row, Oliviafort, DL40 9GU",New Ronaldborough,Tokelau,duncan03@example.net,ID,JA48454200,Tokelau,2032-09-02,,,
CUST-23A4EDA2,Heloísa Vargas,Individual,Low,Suspended,0,2026-03-18 16:37:59,Other,1947-11-29,Cirino de Goiás,Quênia,,,,"Jardim Augusto Pires, 8, Luxemburgo, 78820-678 da Rocha / SC",Macedo,Ilha Wake,yasmin47@example.net,ID,WE89890306,Ilha Wake,2028-11-13,,,
CUST-66420491,Paul Hall,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,2006-06-23,Port Kristinaville,Colombia,,,,"8823 Jensen Ports Apt. 456, Port Billy, ME 34399",Brownport,Isle of Man,westamanda@example.org,License,CX13266002,Isle of Man,2031-08-29,,,
CUST-3C5606AD,栗浩,Individual,Low,Blocked,0,2026-03-18 16:37:59,Female,1942-07-12,沈阳县,吉尔吉斯斯坦,,,,台湾省丽县东城荆门街J座 141301,海门县,格陵兰岛,minggu@example.org,Passport,EV45419130,格陵兰岛,2034-06-26,,,
CUST-435C63D5,Mirko Lindner,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1985-05-18,Beilngries,Demokratische Volksrepublik Korea,,,,"Michaele-Gumprich-Ring 7-4, 81836 Fallingbostel",Grevesmühlen,Niger,marliesmielcarek@example.org,Passport,NC54480268,Niger,2033-05-18,,,
CUST-2D500EFE,Аксенова Лора Кузьминична,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1992-07-02,клх Курчатов,Габон,,,,"п. Рославль, пер. Орджоникидзе, д. 6 к. 75, 011814",ст. Андреаполь,Египет,mefodinikiforov@example.com,ID,RR59146918,Египет,2033-04-14,,,
CUST-C2C1DF55,Cornelius Okonkwo,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Male,1999-03-25,North Emmanuel,Thailand,,,,"670 Hope Ports, Nnamanimouth, MT 31801",New Johntown,Netherlands Antilles,okaformark@example.net,ID,RR44831766,Netherlands Antilles,2033-07-03,,,
CUST-3DD49189,Heriberto Carnero Grande,Individual,Low,Onboarded,1,2026-03-18 16:37:59,Male,1953-11-04,Lugo,Estados Unidos de América,,,,"Vial Rodrigo Vélez 39 Puerta 0 , Álava, 34833",Huelva,Dominicana,graciablanch@example.org,License,UI29553289,Dominicana,2035-10-16,Minister,Austria,L2-Medium
CUST-C3A9A0E8,陈健,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1953-05-10,雪市,阿森松,,,,新疆维吾尔自治区建国县友好香港街O座 727656,永安县,老挝,zhutao@example.com,License,YG23662295,老挝,2031-02-28,,,
CUST-123EC465,"АО «Быкова, Селиверстов и Воробьева» Corp",Entity,Low,Onboarded,0,2026-03-18 16:37:59,,,,,2001-08-08,Кипр,Fintech,"г. Новочеркасск, ул. Карбышева, д. 439 к. 11, 120521",п. Уфа,Гамбия,jakubmarkov@example.com,Tax ID,VM86781780,Гамбия,2029-03-08,,,
CUST-8D77F668,Моисеев Максим Фокич,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,2008-03-07,с. Краснодар,Бахрейн,,,,"ст. Кизляр, пр. Вольный, д. 8/8 к. 516, 512021",ст. Жигулевск,Бутан,efremovavasilisa@example.net,Passport,TJ48541154,Бутан,2030-10-24,,,
CUST-F9892B79,Debra Hamilton,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1991-08-29,Davidbury,Tokelau,,,,"3620 Thompson Center, Amberstad, UT 02139",Port Tara,Puerto Rico,bob62@example.org,ID,BQ99979835,Puerto Rico,2033-12-03,,,
CUST-12C84E93,Mary Eze,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1940-04-29,New Juliet,Bahamas,,,,"5461 Nnamani Burgs Suite 345, Chukwuchester, IA 04281",South Simon,Bhutan,david70@example.net,Passport,PP40833636,Bhutan,2033-01-24,,,
CUST-79BC03A4,黄萍,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1989-12-22,潜江县,马尔代夫,,,,重庆市建华县江北兴安盟街I座 284393,兰英县,印度尼西亚,yanhu@example.net,Passport,HM26005074,印度尼西亚,2033-09-09,,,
CUST-0C953C97,Rael Mendes,Individual,Low,Onboarded,1,2026-03-18 16:37:59,Female,1984-04-01,Rezende,Ruanda,,,,"Vila de Melo, Alpes, 67689649 Mendonça / SC",Cardoso,Noruega,qpinto@example.net,Passport,NE14804954,Noruega,2026-12-04,Ambassador,Guiana,L3-Low
CUST-731D371A,सिकन्दर चतुर्वेदीजी,Individual,Low,Suspended,0,2026-03-18 16:37:59,Other,1973-11-27,देहरा,उज़बेकिस्तान,,,,"05/09 देशपांडे, बहादुरगढ 056524",चित्तूर,रूस,rtn13@example.com,Passport,TK86612643,रूस,2035-04-13,,,
CUST-0158CB6B,Natalie Martin,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1985-10-27,Tiffanyside,Peru,,,,"669 Cooper Mountain, Jamesmouth, GA 14871",Michealport,Estonia,paulmoon@example.com,Passport,TZ37666778,Estonia,2027-11-20,,,
CUST-D6A459BB,Natali Werner-Wähner,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,2006-01-22,Rothenburg ob der Tauber,Seychellen,,,,"Marita-Pergande-Allee 71/43, 84956 Brand",Gräfenhainichen,St. Martin,foersteramir@example.net,License,DL00613567,St. Martin,2030-11-01,,,
CUST-5D4E7E4C,Антон Бабійчук,Individual,High,Onboarded,0,2026-03-18 16:37:59,Other,1997-05-02,селище Миколаївка,Уганда,,,,"площа Бреуса Якова, буд. 3 кв. 097, Новий Розділ, 25469",хутір Шаргород,Грузія,mariana22@example.org,License,KK76969326,Грузія,2029-08-22,,,
CUST-0553D992,Ionelia Cristea,Individual,Low,Suspended,0,2026-03-18 16:37:59,Female,1992-04-02,Medias,Germany,,,,"Aleea Steliana Eftimie, Plosca, 254238",Hunedoara,Morocco,dalbu@example.net,License,VJ98894386,Morocco,2035-06-13,,,
CUST-86A72D77,Monika Gierek,Individual,Low,Onboarded,1,2026-03-18 16:37:59,Male,1996-01-12,Nowa Sól,Fiji,,,,"aleja Jana III Sobieskiego 93/11, 05-348 Częstochowa",Bolesławiec,Belarus,olafrohde@example.com,Passport,MC94055243,Belarus,2032-06-29,Governor,Italy,L1-High
CUST-6CE6047A,吕玉梅,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,2003-01-11,秀芳市,巴西,,,,河南省莹市沈北新柳州路B座 501933,太原市,乌拉圭,dwei@example.com,License,MV30409439,乌拉圭,2029-03-03,,,
CUST-9FBD3E11,Dr. Melissa Ortiz,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1975-05-17,New Julian,Turks and Caicos Islands,,,,"454 Thomas Mills Suite 658, New Brenda, GU 42048",West Matthewmouth,Australia,chelsea38@example.org,License,MU33463444,Australia,2033-09-14,,,
CUST-4E1BF917,Поляков Севастьян Аксёнович,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1988-12-15,г. Краснокамск,Украина,,,,"клх Гудермес, ул. Шаумяна, д. 160 к. 6, 405160",ст. Боровск,Сирия,vissarion1992@example.org,License,OB74636639,Сирия,2035-06-14,,,
CUST-2F8A022E,Adolfo Sáenz,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1988-05-14,Madrid,Suecia,,,,"C. Teresita Viñas 2 Puerta 6 , Córdoba, 17112",Jaén,Guatemala,asenjoalexandra@example.com,Passport,GH34798725,Guatemala,2029-04-23,,,
CUST-1FE8088B,Paul Owen,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Male,1950-05-19,Melissa Ville,Liberia,,,,"4268 Venus Drive, Itbayat, 8185 Lanao del Sur",Robert Ville,India,amy81@example.com,License,UU95575406,India,2031-09-24,,,
CUST-5E2EE394,井上 あすか,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1945-06-07,八王子市,クリスマス島,,,,富山県袖ケ浦市吾妻橋36丁目4番10号 月島コート132,横浜市都筑区,グアドループ,xfujiwara@example.org,License,RS74809953,グアドループ,2030-09-24,,,
CUST-A7FB7373,Dipl.-Ing. Sergej Steuer,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1979-04-08,Pritzwalk,Palästinensische Gebiete,,,,"Drewesgasse 6-3, 90284 Donaueschingen",Pinneberg,Osttimor,bheinrich@example.com,ID,FV45625611,Osttimor,2034-01-26,,,
